Battlefield Chaos,What are we fighting for?,w,6,6,0,0,draw,0
Death and Taxes,War sometimes creates truly terrible combinations,w,1,0,2,3,null,0
Death and Taxes,War sometimes creates truly terrible combinations,w,1,0,2,3,null,0
Death and Taxes,War sometimes creates truly terrible combinations,w,1,0,2,3,null,0
Pack Leader,Boosts your side for a small fee,t,7,5,0,1,null,6
Bribe,Why are all the officials like this?,w,3,0,0,2,draw,0
Bribe,Why are all the officials like this?,w,3,0,0,2,draw,0
Bribe,Why are all the officials like this?,w,3,0,0,2,draw,0
Close Air Support,Giving your ground divisions exactly what they need,t,6,0,4,1,draw,6
Intimidation,Your confidence is their fear,w,2,5,0,1,null,0
Long Lasting Curse,They were predestined to fail this one,w,5,7,2,0,discard,0
Long Lasting Curse,They were predestined to fail this one,w,5,7,2,0,discard,0
Recruit,Boost your military numbers,w,2,0,4,2,null,0
Tsar Bomb,Press the red button in dire emergency only,w,8,10,0,0,discard,0
Tsar Bomb,Press the red button in dire emergency only,w,8,10,0,0,discard,0
Tsar Bomb,Press the red button in dire emergency only,w,8,10,0,0,discard,0
Propaganda,Let the whole world know your success,w,2,2,0,3,null,0
Propaganda,Let the whole world know your success,w,2,2,0,3,null,0
Propaganda,Let the whole world know your success,w,2,2,0,3,null,0
The Ancient Van,Why is the military always so underfunded,t,2,3,0,0,null,4
The Ancient Van,Why is the military always so underfunded,t,2,3,0,0,null,4
The Ancient Van,Why is the military always so underfunded,t,2,3,0,0,null,4
Invitation Letter,So many new faces...,w,5,3,4,2,draw,0
The White Death,They do not call him Sniper Elite for no reason,t,7,5,0,0,discard,5
Sanctions,This attack will hurt your enemy the most,w,1,3,0,3,null,0
Sanctions,This attack will hurt your enemy the most,w,1,3,0,3,null,0
Street Gangs,Give me your money or I'll give you my knife,t,3,2,0,1,null,4
Rally the Troops,Boost the confidence of your military,w,4,4,4,0,draw,0
Drug Smugglers,Making money at every opportunity,t,4,1,0,3,null,5
Nuclear Power,Good servant - Bad lord,w,4,5,0,0,draw,0
Domination,Crushing the opponents so hard,w,7,6,6,0,draw,0
Assassination,One well aimed shot - one opportunity,w,3,5,0,0,discard,0
Assassination,One well aimed shot - one opportunity,w,3,5,0,0,discard,0
Assassination,One well aimed shot - one opportunity,w,3,5,0,0,discard,0
Western Gifts,You have their weapons - use them,w,3,4,1,0,null,0
Western Gifts,You have their weapons - use them,w,3,4,1,0,null,0
Enforcer Vasily,Watching every one of your steps,t,5,3,0,0,draw,5
War on Opera,Using the weapon of voice,w,4,0,3,2,draw,0
Suicide Bomber,Effective at cleaning totally everything,w,3,5,1,0,sacrifice,0
Suicide Bomber,Effective at cleaning totally everything,w,3,5,1,0,sacrifice,0
Suicide Bomber,Effective at cleaning totally everything,w,3,5,1,0,sacrifice,0
Suicide Bomber,Effective at cleaning totally everything,w,3,5,1,0,sacrifice,0
Flag of Victory,War is over - If you want it,w,3,0,3,1,null,0
Eastern Farmers,What a beautiful tank you have there,t,6,3,0,0,steal,3
Eastern Farmers,What a beautiful tank you have there,t,6,3,0,0,steal,3
Local Patriots,They will do what it takes to defend the Homeland,t,3,2,1,1,null,1
Local Patriots,They will do what it takes to defend the Homeland,t,3,2,1,1,null,1
Out of Gas,You got this tank basically for free,w,4,0,0,1,steal,0
Out of Gas,You got this tank basically for free,w,4,0,0,1,steal,0
Out of Gas,You got this tank basically for free,w,4,0,0,1,steal,0
Claymore,Did you remember to turn it off?,w,2,4,0,0,sacrifice,0
Claymore,Did you remember to turn it off?,w,2,4,0,0,sacrifice,0
Decommission,You really cannot fight with this,t,4,0,1,1,sacrifice,3
Decommission,You really cannot fight with this,t,4,0,1,1,sacrifice,3
Decommission,You really cannot fight with this,t,4,0,1,1,sacrifice,3
Decommission,You really cannot fight with this,t,4,0,1,1,sacrifice,3
