Human with a broken player descriptor... no clue which player class is supposed to be created
Human General,This general is the best general in the world,g,2,3,4,1,null,50

Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Pile of Cash,Let's buy some real guns,w,0,0,0,2,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Poor F*** Infantry,It ain't much but it's honest work,t,0,1,0,0,null,2

Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null



Bogo
General RoboCop,EX-TER-MI-NA-TE!,g,2,3,4,1,null,50

Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Pile of Cash,Let's buy some real guns,w,0,0,0,2,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Poor F*** Infantry,It ain't much but it's honest work,t,0,1,0,0,null,2
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null




Death and Taxes,War sometimes creates truly terrible combinations,w,1,0,2,3,null
Local Patriots,They will do what it takes to defend the Homeland,t,3,2,1,1,null,1
Intimidation,Your confidence is their fear,w,2,5,0,1,null
Tsar Bomb,Press the red button in dire emergency only,w,8,10,0,0,discard

